combo_type,length,start_time,end_time,long_pnl,long_pnl_pct,long_win,short_pnl,short_pnl_pct,short_win
震荡_阳线_5K,5,2026-03-19 09:06:00,2026-03-19 09:10:00,-650.0,-0.18353804884935762,False,650.0,0.18353804884935762,True
震荡_阳线_5K,5,2026-03-19 09:07:00,2026-03-19 09:11:00,1160.0,0.3287888665287265,True,-1160.0,-0.3287888665287265,False
震荡_阳线_5K,5,2026-03-19 09:08:00,2026-03-19 09:12:00,-290.0,-0.08207624600232077,False,290.0,0.08207624600232077,True
震荡_阳线_5K,5,2026-03-19 09:09:00,2026-03-19 09:13:00,190.0,0.053867090043093674,True,-190.0,-0.053867090043093674,False
震荡_阳线_5K,5,2026-03-19 09:10:00,2026-03-19 09:14:00,0.0,0.0,False,0.0,0.0,False
震荡_阴线_5K,5,2026-03-19 09:11:00,2026-03-19 09:15:00,-350.0,-0.09900990099009901,False,350.0,0.09900990099009901,True
震荡_阴线_5K,5,2026-03-19 09:12:00,2026-03-19 09:16:00,-580.0,-0.1639761386446524,False,580.0,0.1639761386446524,True
震荡_阴线_5K,5,2026-03-19 09:13:00,2026-03-19 09:17:00,530.0,0.15012463176977114,True,-530.0,-0.15012463176977114,False
震荡_阳线_5K,5,2026-03-19 09:14:00,2026-03-19 09:18:00,940.0,0.26640215388975486,True,-940.0,-0.26640215388975486,False
震荡_阴线_5K,5,2026-03-19 09:15:00,2026-03-19 09:19:00,230.0,0.0650986385893408,True,-230.0,-0.0650986385893408,False
震荡_星线_5K,5,2026-03-19 09:16:00,2026-03-19 09:20:00,570.0,0.16143192953637883,True,-570.0,-0.16143192953637883,False
震荡_阳线_5K,5,2026-03-19 09:17:00,2026-03-19 09:21:00,-40.0,-0.011327273242148784,False,40.0,0.011327273242148784,True
震荡_阴线_5K,5,2026-03-19 09:18:00,2026-03-19 09:22:00,-520.0,-0.14707130129818705,False,520.0,0.14707130129818705,True
震荡_阴线_5K,5,2026-03-19 09:19:00,2026-03-19 09:23:00,-450.0,-0.1271940981938438,False,450.0,0.1271940981938438,True
震荡_阴线_5K,5,2026-03-19 09:20:00,2026-03-19 09:24:00,-650.0,-0.18380273724691779,False,650.0,0.18380273724691779,True
震荡_阴线_5K,5,2026-03-19 09:21:00,2026-03-19 09:25:00,-230.0,-0.06504340940584259,False,230.0,0.06504340940584259,True
震荡_阳线_5K,5,2026-03-19 09:22:00,2026-03-19 09:26:00,1150.0,0.32564066260795693,True,-1150.0,-0.32564066260795693,False
震荡_阳线_5K,5,2026-03-19 09:23:00,2026-03-19 09:27:00,1350.0,0.38238209885285374,True,-1350.0,-0.38238209885285374,False
震荡_阳线_5K,5,2026-03-19 09:24:00,2026-03-19 09:28:00,1340.0,0.3792381275824984,True,-1340.0,-0.3792381275824984,False
震荡_阳线_5K,5,2026-03-19 09:25:00,2026-03-19 09:29:00,1260.0,0.35695062183064674,True,-1260.0,-0.35695062183064674,False
震荡_阳线_5K,5,2026-03-19 09:26:00,2026-03-19 09:30:00,1450.0,0.41032316486501785,True,-1450.0,-0.41032316486501785,False
震荡_阴线_5K,5,2026-03-19 09:27:00,2026-03-19 09:31:00,-150.0,-0.04233700254022015,False,150.0,0.04233700254022015,True
震荡_阴线_5K,5,2026-03-19 09:28:00,2026-03-19 09:32:00,-470.0,-0.13263722308452097,False,470.0,0.13263722308452097,True
震荡_阴线_5K,5,2026-03-19 09:29:00,2026-03-19 09:33:00,-770.0,-0.2170971016127213,False,770.0,0.2170971016127213,True
震荡_阳线_5K,5,2026-03-19 09:30:00,2026-03-19 09:34:00,340.0,0.09597741707833451,True,-340.0,-0.09597741707833451,False
震荡_阴线_5K,5,2026-03-19 09:31:00,2026-03-19 09:35:00,-320.0,-0.09017386648631893,False,320.0,0.09017386648631893,True
震荡_阴线_5K,5,2026-03-19 09:32:00,2026-03-19 09:36:00,20.0,0.005648121999435188,True,-20.0,-0.005648121999435188,False
震荡_阳线_5K,5,2026-03-19 09:33:00,2026-03-19 09:37:00,740.0,0.2091399824774609,True,-740.0,-0.2091399824774609,False
震荡_阳线_5K,5,2026-03-19 09:34:00,2026-03-19 09:38:00,1320.0,0.3729761803848436,True,-1320.0,-0.3729761803848436,False
震荡_阴线_5K,5,2026-03-19 09:35:00,2026-03-19 09:39:00,380.0,0.10715695674242852,True,-380.0,-0.10715695674242852,False
震荡_阴线_5K,5,2026-03-19 09:36:00,2026-03-19 09:40:00,420.0,0.11844999717976197,True,-420.0,-0.11844999717976197,False
震荡_阳线_5K,5,2026-03-19 09:37:00,2026-03-19 09:41:00,760.0,0.214531699881443,True,-760.0,-0.214531699881443,False
震荡_阴线_5K,5,2026-03-19 09:38:00,2026-03-19 09:42:00,310.0,0.08740765803868494,True,-310.0,-0.08740765803868494,False
震荡_阴线_5K,5,2026-03-19 09:39:00,2026-03-19 09:43:00,-710.0,-0.19987050643245222,False,710.0,0.19987050643245222,True
震荡_阴线_5K,5,2026-03-19 09:40:00,2026-03-19 09:44:00,-520.0,-0.14644587135293455,False,520.0,0.14644587135293455,True
震荡_星线_5K,5,2026-03-19 09:41:00,2026-03-19 09:45:00,-740.0,-0.2084507042253521,False,740.0,0.2084507042253521,True
震荡_阴线_5K,5,2026-03-19 09:42:00,2026-03-19 09:46:00,-1560.0,-0.43951090325125375,False,1560.0,0.43951090325125375,True
震荡_阴线_5K,5,2026-03-19 09:43:00,2026-03-19 09:47:00,-1690.0,-0.47605633802816905,False,1690.0,0.47605633802816905,True
震荡_阴线_5K,5,2026-03-19 09:44:00,2026-03-19 09:48:00,-800.0,-0.22566995768688292,False,800.0,0.22566995768688292,True
震荡_阴线_5K,5,2026-03-19 09:45:00,2026-03-19 09:49:00,-1090.0,-0.30742328519855594,False,1090.0,0.30742328519855594,True
震荡_阴线_5K,5,2026-03-19 09:46:00,2026-03-19 09:50:00,-830.0,-0.23429119855473382,False,830.0,0.23429119855473382,True
震荡_阴线_5K,5,2026-03-19 09:47:00,2026-03-19 09:51:00,-420.0,-0.11880852026816781,False,420.0,0.11880852026816781,True
震荡_阳线_5K,5,2026-03-19 09:48:00,2026-03-19 09:52:00,170.0,0.04812047101449276,True,-170.0,-0.04812047101449276,False
震荡_阳线_5K,5,2026-03-19 09:49:00,2026-03-19 09:53:00,170.0,0.048102770153645905,True,-170.0,-0.048102770153645905,False
震荡_阴线_5K,5,2026-03-19 09:50:00,2026-03-19 09:54:00,90.0,0.025468334370932145,True,-90.0,-0.025468334370932145,False
震荡_阴线_5K,5,2026-03-19 09:51:00,2026-03-19 09:55:00,-70.0,-0.019807023004442433,False,70.0,0.019807023004442433,True
震荡_阳线_5K,5,2026-03-19 09:52:00,2026-03-19 09:56:00,270.0,0.07646992183074658,True,-270.0,-0.07646992183074658,False
震荡_阳线_5K,5,2026-03-19 09:53:00,2026-03-19 09:57:00,270.0,0.07638987126892065,True,-270.0,-0.07638987126892065,False
震荡_阴线_5K,5,2026-03-19 09:54:00,2026-03-19 09:58:00,120.0,0.03394049100576988,True,-120.0,-0.03394049100576988,False
震荡_阴线_5K,5,2026-03-19 09:55:00,2026-03-19 09:59:00,-430.0,-0.12165105949585539,False,430.0,0.12165105949585539,True
震荡_星线_5K,5,2026-03-19 09:56:00,2026-03-19 10:00:00,-310.0,-0.08772922798279376,False,310.0,0.08772922798279376,True
震荡_阴线_5K,5,2026-03-19 09:57:00,2026-03-19 10:01:00,-120.0,-0.033973161202649906,False,120.0,0.033973161202649906,True
震荡_阴线_5K,5,2026-03-19 09:58:00,2026-03-19 10:02:00,-660.0,-0.18652498304318335,False,660.0,0.18652498304318335,True
震荡_星线_5K,5,2026-03-19 09:59:00,2026-03-19 10:03:00,-380.0,-0.10744175525899118,False,380.0,0.10744175525899118,True
震荡_星线_5K,5,2026-03-19 10:00:00,2026-03-19 10:04:00,440.0,0.12463176977113076,True,-440.0,-0.12463176977113076,False
震荡_阳线_5K,5,2026-03-19 10:01:00,2026-03-19 10:05:00,370.0,0.10478321203024553,True,-370.0,-0.10478321203024553,False
震荡_阳线_5K,5,2026-03-19 10:02:00,2026-03-19 10:06:00,110.0,0.03115264797507788,True,-110.0,-0.03115264797507788,False
震荡_阴线_5K,5,2026-03-19 10:03:00,2026-03-19 10:07:00,70.0,0.019819921852879552,True,-70.0,-0.019819921852879552,False
震荡_阴线_5K,5,2026-03-19 10:04:00,2026-03-19 10:08:00,240.0,0.06793093688083782,True,-240.0,-0.06793093688083782,False
震荡_阴线_5K,5,2026-03-19 10:05:00,2026-03-19 10:09:00,-170.0,-0.04804702956305466,False,170.0,0.04804702956305466,True
震荡_阳线_5K,5,2026-03-19 10:06:00,2026-03-19 10:10:00,410.0,0.11599615232275222,True,-410.0,-0.11599615232275222,False
